,beta,gamma,size,file_name
1,0.1,0.05,151876,phase/N_400_Nit_24999_a_0.5_b_0.1_c_0.05_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
2,0.1,0.1,239542,phase/N_400_Nit_24999_a_0.5_b_0.1_c_0.1_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
3,0.1,0.2,174025,phase/N_400_Nit_24999_a_0.5_b_0.1_c_0.2_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
4,0.1,0.30000000000000004,176980,phase/N_400_Nit_24999_a_0.5_b_0.1_c_0.30000000000000004_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
5,0.1,0.4,173717,phase/N_400_Nit_24999_a_0.5_b_0.1_c_0.4_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
6,0.1,0.5,173717,phase/N_400_Nit_24999_a_0.5_b_0.1_c_0.5_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
7,0.1,0.6,173717,phase/N_400_Nit_24999_a_0.5_b_0.1_c_0.6_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
8,0.1,0.7000000000000001,173717,phase/N_400_Nit_24999_a_0.5_b_0.1_c_0.7000000000000001_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
9,0.1,0.8,173717,phase/N_400_Nit_24999_a_0.5_b_0.1_c_0.8_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
10,0.1,0.9,173717,phase/N_400_Nit_24999_a_0.5_b_0.1_c_0.9_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
11,0.1,1.0,173717,phase/N_400_Nit_24999_a_0.5_b_0.1_c_1.0_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
12,1.2,0.05,173717,phase/N_400_Nit_24999_a_0.5_b_1.2_c_0.05_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
13,1.2,0.1,173717,phase/N_400_Nit_24999_a_0.5_b_1.2_c_0.1_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
14,1.2,0.2,173717,phase/N_400_Nit_24999_a_0.5_b_1.2_c_0.2_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
15,1.2,0.30000000000000004,173717,phase/N_400_Nit_24999_a_0.5_b_1.2_c_0.30000000000000004_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
16,1.2,0.4,173717,phase/N_400_Nit_24999_a_0.5_b_1.2_c_0.4_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
17,1.2,0.5,173717,phase/N_400_Nit_24999_a_0.5_b_1.2_c_0.5_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
18,1.2,0.6,173717,phase/N_400_Nit_24999_a_0.5_b_1.2_c_0.6_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
19,1.2,0.7000000000000001,173717,phase/N_400_Nit_24999_a_0.5_b_1.2_c_0.7000000000000001_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
20,1.2,0.8,173717,phase/N_400_Nit_24999_a_0.5_b_1.2_c_0.8_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
21,1.2,0.9,173717,phase/N_400_Nit_24999_a_0.5_b_1.2_c_0.9_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
22,1.2,1.0,173717,phase/N_400_Nit_24999_a_0.5_b_1.2_c_1.0_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
