,beta,gamma,size,file_name
1,0.1,0.05,139464,phase/N_400_Nit_25000_a_0.5_b_0.1_c_0.05_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
2,0.1,0.1,194048,phase/N_400_Nit_25000_a_0.5_b_0.1_c_0.1_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
3,0.1,0.2,156994,phase/N_400_Nit_25000_a_0.5_b_0.1_c_0.2_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
4,0.1,0.30000000000000004,150524,phase/N_400_Nit_25000_a_0.5_b_0.1_c_0.30000000000000004_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
5,0.1,0.4,168434,phase/N_400_Nit_25000_a_0.5_b_0.1_c_0.4_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
6,0.1,0.5,168434,phase/N_400_Nit_25000_a_0.5_b_0.1_c_0.5_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
7,0.1,0.6,168434,phase/N_400_Nit_25000_a_0.5_b_0.1_c_0.6_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
8,0.1,0.7000000000000001,168434,phase/N_400_Nit_25000_a_0.5_b_0.1_c_0.7000000000000001_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
9,0.1,0.8,168434,phase/N_400_Nit_25000_a_0.5_b_0.1_c_0.8_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
10,0.1,0.9,168434,phase/N_400_Nit_25000_a_0.5_b_0.1_c_0.9_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
11,0.1,1.0,168434,phase/N_400_Nit_25000_a_0.5_b_0.1_c_1.0_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
12,1.2,0.05,168434,phase/N_400_Nit_25000_a_0.5_b_1.2_c_0.05_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
13,1.2,0.1,168434,phase/N_400_Nit_25000_a_0.5_b_1.2_c_0.1_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
14,1.2,0.2,168434,phase/N_400_Nit_25000_a_0.5_b_1.2_c_0.2_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
15,1.2,0.30000000000000004,168434,phase/N_400_Nit_25000_a_0.5_b_1.2_c_0.30000000000000004_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
16,1.2,0.4,168434,phase/N_400_Nit_25000_a_0.5_b_1.2_c_0.4_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
17,1.2,0.5,168434,phase/N_400_Nit_25000_a_0.5_b_1.2_c_0.5_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
18,1.2,0.6,168434,phase/N_400_Nit_25000_a_0.5_b_1.2_c_0.6_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
19,1.2,0.7000000000000001,168434,phase/N_400_Nit_25000_a_0.5_b_1.2_c_0.7000000000000001_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
20,1.2,0.8,168434,phase/N_400_Nit_25000_a_0.5_b_1.2_c_0.8_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
21,1.2,0.9,168434,phase/N_400_Nit_25000_a_0.5_b_1.2_c_0.9_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
22,1.2,1.0,168434,phase/N_400_Nit_25000_a_0.5_b_1.2_c_1.0_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
1,2.2,0.05,446858,phase/N_400_Nit_25000_a_0.5_b_2.2_c_0.05_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
2,2.2,0.1,595769,phase/N_400_Nit_25000_a_0.5_b_2.2_c_0.1_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
3,2.2,0.2,629469,phase/N_400_Nit_25000_a_0.5_b_2.2_c_0.2_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
4,2.2,0.30000000000000004,621017,phase/N_400_Nit_25000_a_0.5_b_2.2_c_0.30000000000000004_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
5,2.2,0.4,157071,phase/N_400_Nit_25000_a_0.5_b_2.2_c_0.4_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
6,2.2,0.5,141246,phase/N_400_Nit_25000_a_0.5_b_2.2_c_0.5_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
7,2.2,0.6,152114,phase/N_400_Nit_25000_a_0.5_b_2.2_c_0.6_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
8,2.2,0.7000000000000001,163547,phase/N_400_Nit_25000_a_0.5_b_2.2_c_0.7000000000000001_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
9,2.2,0.8,152814,phase/N_400_Nit_25000_a_0.5_b_2.2_c_0.8_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
10,2.2,0.9,153007,phase/N_400_Nit_25000_a_0.5_b_2.2_c_0.9_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
11,2.2,1.0,168531,phase/N_400_Nit_25000_a_0.5_b_2.2_c_1.0_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
12,3.3,0.05,200200,phase/N_400_Nit_25000_a_0.5_b_3.3_c_0.05_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
